Unnamed: 0,verdi,tidsforskyvning,referansetid
0,6.9,PT0H,2024-01-01 00:00:00+00:00
1,6.3,PT0H,2024-01-02 00:00:00+00:00
2,5.4,PT0H,2024-01-03 00:00:00+00:00
3,4.8,PT0H,2024-01-04 00:00:00+00:00
4,1.9,PT0H,2024-01-05 00:00:00+00:00
5,1.1,PT0H,2024-01-06 00:00:00+00:00
6,1.2,PT0H,2024-01-07 00:00:00+00:00
7,0.9,PT0H,2024-01-08 00:00:00+00:00
8,0.6,PT0H,2024-01-09 00:00:00+00:00
9,0.8,PT0H,2024-01-10 00:00:00+00:00
10,2.2,PT0H,2024-01-11 00:00:00+00:00
11,1.1,PT0H,2024-01-12 00:00:00+00:00
12,0.9,PT0H,2024-01-13 00:00:00+00:00
13,2.6,PT0H,2024-01-14 00:00:00+00:00
14,2.0,PT0H,2024-01-15 00:00:00+00:00
15,1.8,PT0H,2024-01-16 00:00:00+00:00
16,5.5,PT0H,2024-01-17 00:00:00+00:00
17,1.3,PT0H,2024-01-18 00:00:00+00:00
18,1.5,PT0H,2024-01-19 00:00:00+00:00
19,1.4,PT0H,2024-01-20 00:00:00+00:00
20,2.3,PT0H,2024-01-21 00:00:00+00:00
21,6.0,PT0H,2024-01-22 00:00:00+00:00
22,3.0,PT0H,2024-01-23 00:00:00+00:00
23,1.7,PT0H,2024-01-24 00:00:00+00:00
24,1.4,PT0H,2024-01-25 00:00:00+00:00
25,1.6,PT0H,2024-01-26 00:00:00+00:00
26,1.3,PT0H,2024-01-27 00:00:00+00:00
27,4.0,PT0H,2024-01-28 00:00:00+00:00
28,2.2,PT0H,2024-01-29 00:00:00+00:00
29,0.9,PT0H,2024-01-30 00:00:00+00:00
30,2.8,PT0H,2024-01-31 00:00:00+00:00
31,3.0,PT0H,2024-02-01 00:00:00+00:00
32,1.3,PT0H,2024-02-02 00:00:00+00:00
33,4.7,PT0H,2024-02-03 00:00:00+00:00
34,1.9,PT0H,2024-02-04 00:00:00+00:00
35,2.0,PT0H,2024-02-05 00:00:00+00:00
36,3.4,PT0H,2024-02-06 00:00:00+00:00
37,2.0,PT0H,2024-02-07 00:00:00+00:00
38,2.2,PT0H,2024-02-08 00:00:00+00:00
39,3.5,PT0H,2024-02-09 00:00:00+00:00
40,5.8,PT0H,2024-02-10 00:00:00+00:00
41,4.8,PT0H,2024-02-11 00:00:00+00:00
42,5.1,PT0H,2024-02-12 00:00:00+00:00
43,2.4,PT0H,2024-02-13 00:00:00+00:00
44,1.3,PT0H,2024-02-14 00:00:00+00:00
45,2.5,PT0H,2024-02-15 00:00:00+00:00
46,1.4,PT0H,2024-02-16 00:00:00+00:00
47,1.7,PT0H,2024-02-17 00:00:00+00:00
48,2.8,PT0H,2024-02-18 00:00:00+00:00
49,1.5,PT0H,2024-02-19 00:00:00+00:00
50,1.2,PT0H,2024-02-20 00:00:00+00:00
51,1.3,PT0H,2024-02-21 00:00:00+00:00
52,1.6,PT0H,2024-02-22 00:00:00+00:00
53,5.0,PT0H,2024-02-23 00:00:00+00:00
54,2.2,PT0H,2024-02-24 00:00:00+00:00
55,1.9,PT0H,2024-02-25 00:00:00+00:00
56,1.8,PT0H,2024-02-26 00:00:00+00:00
57,3.0,PT0H,2024-02-27 00:00:00+00:00
58,3.5,PT0H,2024-02-28 00:00:00+00:00
59,4.1,PT0H,2024-02-29 00:00:00+00:00
60,2.5,PT0H,2024-03-01 00:00:00+00:00
61,4.1,PT0H,2024-03-02 00:00:00+00:00
62,4.3,PT0H,2024-03-03 00:00:00+00:00
63,4.0,PT0H,2024-03-04 00:00:00+00:00
64,3.7,PT0H,2024-03-05 00:00:00+00:00
65,2.6,PT0H,2024-03-06 00:00:00+00:00
66,1.1,PT0H,2024-03-07 00:00:00+00:00
67,2.0,PT0H,2024-03-08 00:00:00+00:00
68,3.4,PT0H,2024-03-09 00:00:00+00:00
69,3.8,PT0H,2024-03-10 00:00:00+00:00
70,4.4,PT0H,2024-03-11 00:00:00+00:00
71,1.6,PT0H,2024-03-12 00:00:00+00:00
72,2.0,PT0H,2024-03-13 00:00:00+00:00
73,2.9,PT0H,2024-03-14 00:00:00+00:00
74,1.5,PT0H,2024-03-15 00:00:00+00:00
75,6.5,PT0H,2024-03-16 00:00:00+00:00
76,2.6,PT0H,2024-03-17 00:00:00+00:00
77,1.6,PT0H,2024-03-18 00:00:00+00:00
78,1.7,PT0H,2024-03-19 00:00:00+00:00
79,1.1,PT0H,2024-03-20 00:00:00+00:00
80,2.5,PT0H,2024-03-21 00:00:00+00:00
81,3.0,PT0H,2024-03-22 00:00:00+00:00
82,3.0,PT0H,2024-03-23 00:00:00+00:00
83,2.5,PT0H,2024-03-24 00:00:00+00:00
84,3.5,PT0H,2024-03-25 00:00:00+00:00
85,2.1,PT0H,2024-03-26 00:00:00+00:00
86,3.8,PT0H,2024-03-27 00:00:00+00:00
87,6.1,PT0H,2024-03-28 00:00:00+00:00
88,3.0,PT0H,2024-03-29 00:00:00+00:00
89,1.8,PT0H,2024-03-30 00:00:00+00:00
90,2.4,PT0H,2024-03-31 00:00:00+00:00
91,3.5,PT0H,2024-04-01 00:00:00+00:00
92,5.1,PT0H,2024-04-02 00:00:00+00:00
93,4.8,PT0H,2024-04-03 00:00:00+00:00
94,4.6,PT0H,2024-04-04 00:00:00+00:00
95,3.8,PT0H,2024-04-05 00:00:00+00:00
96,1.7,PT0H,2024-04-06 00:00:00+00:00
97,3.5,PT0H,2024-04-07 00:00:00+00:00
98,3.2,PT0H,2024-04-08 00:00:00+00:00
99,2.6,PT0H,2024-04-09 00:00:00+00:00
100,4.8,PT0H,2024-04-10 00:00:00+00:00
101,3.5,PT0H,2024-04-11 00:00:00+00:00
102,1.9,PT0H,2024-04-12 00:00:00+00:00
103,3.1,PT0H,2024-04-13 00:00:00+00:00
104,4.3,PT0H,2024-04-14 00:00:00+00:00
105,2.2,PT0H,2024-04-15 00:00:00+00:00
106,3.3,PT0H,2024-04-16 00:00:00+00:00
107,3.4,PT0H,2024-04-17 00:00:00+00:00
108,2.8,PT0H,2024-04-18 00:00:00+00:00
109,2.3,PT0H,2024-04-19 00:00:00+00:00
110,3.5,PT0H,2024-04-20 00:00:00+00:00
111,4.1,PT0H,2024-04-21 00:00:00+00:00
112,1.9,PT0H,2024-04-22 00:00:00+00:00
113,2.8,PT0H,2024-04-23 00:00:00+00:00
114,2.9,PT0H,2024-04-24 00:00:00+00:00
115,2.2,PT0H,2024-04-25 00:00:00+00:00
116,2.6,PT0H,2024-04-26 00:00:00+00:00
117,1.8,PT0H,2024-04-27 00:00:00+00:00
118,4.6,PT0H,2024-04-28 00:00:00+00:00
119,4.1,PT0H,2024-04-29 00:00:00+00:00
120,2.0,PT0H,2024-04-30 00:00:00+00:00
121,3.6,PT0H,2024-05-01 00:00:00+00:00
122,3.6,PT0H,2024-05-02 00:00:00+00:00
123,2.5,PT0H,2024-05-03 00:00:00+00:00
124,1.9,PT0H,2024-05-04 00:00:00+00:00
125,1.5,PT0H,2024-05-05 00:00:00+00:00
126,4.0,PT0H,2024-05-06 00:00:00+00:00
127,2.2,PT0H,2024-05-07 00:00:00+00:00
128,1.9,PT0H,2024-05-08 00:00:00+00:00
129,3.0,PT0H,2024-05-09 00:00:00+00:00
130,2.9,PT0H,2024-05-10 00:00:00+00:00
131,2.0,PT0H,2024-05-11 00:00:00+00:00
132,2.0,PT0H,2024-05-12 00:00:00+00:00
133,1.9,PT0H,2024-05-13 00:00:00+00:00
134,2.2,PT0H,2024-05-14 00:00:00+00:00
135,2.3,PT0H,2024-05-15 00:00:00+00:00
136,2.5,PT0H,2024-05-16 00:00:00+00:00
137,2.3,PT0H,2024-05-17 00:00:00+00:00
138,2.1,PT0H,2024-05-18 00:00:00+00:00
139,3.0,PT0H,2024-05-19 00:00:00+00:00
140,3.5,PT0H,2024-05-20 00:00:00+00:00
141,2.5,PT0H,2024-05-21 00:00:00+00:00
142,3.4,PT0H,2024-05-22 00:00:00+00:00
143,3.8,PT0H,2024-05-23 00:00:00+00:00
144,2.5,PT0H,2024-05-24 00:00:00+00:00
145,1.6,PT0H,2024-05-25 00:00:00+00:00
146,3.4,PT0H,2024-05-26 00:00:00+00:00
147,2.4,PT0H,2024-05-27 00:00:00+00:00
148,2.2,PT0H,2024-05-28 00:00:00+00:00
149,3.1,PT0H,2024-05-29 00:00:00+00:00
150,2.7,PT0H,2024-05-30 00:00:00+00:00
151,1.9,PT0H,2024-05-31 00:00:00+00:00
152,2.0,PT0H,2024-06-01 00:00:00+00:00
153,2.7,PT0H,2024-06-02 00:00:00+00:00
154,3.3,PT0H,2024-06-03 00:00:00+00:00
155,4.4,PT0H,2024-06-04 00:00:00+00:00
156,4.1,PT0H,2024-06-05 00:00:00+00:00
157,3.3,PT0H,2024-06-06 00:00:00+00:00
158,2.9,PT0H,2024-06-07 00:00:00+00:00
159,2.4,PT0H,2024-06-08 00:00:00+00:00
160,2.7,PT0H,2024-06-09 00:00:00+00:00
161,3.0,PT0H,2024-06-10 00:00:00+00:00
162,2.0,PT0H,2024-06-11 00:00:00+00:00
163,3.0,PT0H,2024-06-12 00:00:00+00:00
164,1.9,PT0H,2024-06-13 00:00:00+00:00
165,2.6,PT0H,2024-06-14 00:00:00+00:00
166,3.5,PT0H,2024-06-15 00:00:00+00:00
167,3.7,PT0H,2024-06-16 00:00:00+00:00
168,3.1,PT0H,2024-06-17 00:00:00+00:00
169,2.3,PT0H,2024-06-18 00:00:00+00:00
