Navn;Stasjon;Tid(norsk normaltid);Middeltemperatur (mnd);Minimumstemperatur (mnd);Maksimumstemperatur (mnd);Antall dager med nedbør
Bergen - Florida;SN50540;01.1980;0,9;-6,3;6,4;-
Trondheim - Tyholt;SN68170;01.1980;-5,3;-17,7;7;8
Oslo - Blindern;SN18700;01.1980;-6,6;-20,6;1,9;5
Bergen - Florida;SN50540;02.1980;1,1;-8,7;10,9;-
Trondheim - Tyholt;SN68170;02.1980;-3,2;-19,4;7,4;10
Oslo - Blindern;SN18700;02.1980;-7,5;-22,4;4,4;5
Bergen - Florida;SN50540;03.1980;2,1;-4,6;8,4;-
Trondheim - Tyholt;SN68170;03.1980;-0,7;-10,4;6;5
Oslo - Blindern;SN18700;03.1980;-2,2;-16;7,7;5
Bergen - Florida;SN50540;04.1980;6,4;-3,4;16,6;-
Trondheim - Tyholt;SN68170;04.1980;4;-3,3;15;12
Oslo - Blindern;SN18700;04.1980;5,4;-3,7;17,3;2
Bergen - Florida;SN50540;05.1980;10,8;1,5;23,6;-
Trondheim - Tyholt;SN68170;05.1980;8,1;0,4;21,7;10
Oslo - Blindern;SN18700;05.1980;11,9;1,8;25,7;7
Bergen - Florida;SN50540;06.1980;14,9;8,3;24,7;-
Trondheim - Tyholt;SN68170;06.1980;14,7;4,7;27,1;8
Oslo - Blindern;SN18700;06.1980;15,9;6,4;29,8;16
Bergen - Florida;SN50540;07.1980;16,6;7,7;28,3;-
Trondheim - Tyholt;SN68170;07.1980;15,7;8,3;28,4;7
Oslo - Blindern;SN18700;07.1980;17,2;9;26,4;13
Bergen - Florida;SN50540;08.1980;14,8;6,8;25,4;-
Trondheim - Tyholt;SN68170;08.1980;14,2;5,9;27,6;8
Oslo - Blindern;SN18700;08.1980;15,2;7,9;25,2;15
Bergen - Florida;SN50540;09.1980;12,8;6,7;19,7;-
Trondheim - Tyholt;SN68170;09.1980;10,3;2,5;16,5;18
Oslo - Blindern;SN18700;09.1980;12;3,2;20,3;10
Bergen - Florida;SN50540;10.1980;6,7;-1,5;12,4;-
Trondheim - Tyholt;SN68170;10.1980;3,2;-8,4;13;16
Oslo - Blindern;SN18700;10.1980;4,7;-7,4;14,6;12
Bergen - Florida;SN50540;11.1980;3,4;-4,7;10,4;-
Trondheim - Tyholt;SN68170;11.1980;-2,1;-17;7,4;12
Oslo - Blindern;SN18700;11.1980;-1,7;-13,4;8,5;7
Bergen - Florida;SN50540;12.1980;3,5;-5,9;9,3;-
Trondheim - Tyholt;SN68170;12.1980;-3,1;-18,5;5,5;17
Oslo - Blindern;SN18700;12.1980;-1,2;-13,4;8,4;8
Bergen - Florida;SN50540;01.1981;0,9;-7,3;8,5;-
Trondheim - Tyholt;SN68170;01.1981;-3,3;-19;8;22
Oslo - Blindern;SN18700;01.1981;-3,9;-17,3;7,3;4
Bergen - Florida;SN50540;02.1981;1,3;-5,3;8;-
Trondheim - Tyholt;SN68170;02.1981;-3,3;-13,8;7,8;10
Oslo - Blindern;SN18700;02.1981;-4;-16,7;9,5;5
Bergen - Florida;SN50540;03.1981;3;-4,4;12,3;-
Trondheim - Tyholt;SN68170;03.1981;-1,8;-16,4;9,4;8
Oslo - Blindern;SN18700;03.1981;-2;-13,8;13,5;12
Bergen - Florida;SN50540;04.1981;5;-1,2;15;-
Trondheim - Tyholt;SN68170;04.1981;2,4;-4,8;12,5;17
Oslo - Blindern;SN18700;04.1981;4,6;-4,3;17,2;2
Bergen - Florida;SN50540;05.1981;12,6;0,8;24,4;-
Trondheim - Tyholt;SN68170;05.1981;11,3;-3;25,4;3
Oslo - Blindern;SN18700;05.1981;12;-2,6;24,3;8
Bergen - Florida;SN50540;06.1981;11,5;5,4;20,3;-
Trondheim - Tyholt;SN68170;06.1981;9,9;3,4;18;11
Oslo - Blindern;SN18700;06.1981;12,6;2,9;22,4;14
Bergen - Florida;SN50540;07.1981;13,7;9;23,6;-
Oslo - Blindern;SN18700;07.1981;16,1;7,7;25,8;12
Bergen - Florida;SN50540;08.1981;13,3;7,6;21,4;-
Oslo - Blindern;SN18700;08.1981;15,4;5,6;25,9;2
Bergen - Florida;SN50540;09.1981;13,5;8,2;23,3;-
Oslo - Blindern;SN18700;09.1981;12,4;4,7;21,2;8
Bergen - Florida;SN50540;10.1981;7,7;0,7;21;-
Oslo - Blindern;SN18700;10.1981;5,1;-3,3;13,7;12
Bergen - Florida;SN50540;11.1981;4,9;-0,4;10,8;-
Oslo - Blindern;SN18700;11.1981;0,6;-5,9;9,9;13
Bergen - Florida;SN50540;12.1981;-2,7;-9,2;9,1;-
Oslo - Blindern;SN18700;12.1981;-8,9;-20,8;7,8;8
Bergen - Florida;SN50540;01.1982;0,1;-12,7;10,3;-
Oslo - Blindern;SN18700;01.1982;-8,1;-23,2;4,2;8
Bergen - Florida;SN50540;02.1982;3,5;-4;9,2;-
Oslo - Blindern;SN18700;02.1982;-3,6;-13;3,7;8
Bergen - Florida;SN50540;03.1982;4,6;0,3;9,4;-
Oslo - Blindern;SN18700;03.1982;1,7;-8,2;13,7;18
Bergen - Florida;SN50540;04.1982;5,4;0,1;15,1;-
Oslo - Blindern;SN18700;04.1982;5,1;-2,1;16,5;4
Bergen - Florida;SN50540;05.1982;9,7;1,4;20,3;-
Oslo - Blindern;SN18700;05.1982;9,8;1,2;24,2;12
Bergen - Florida;SN50540;06.1982;14,3;6,5;28;-
Oslo - Blindern;SN18700;06.1982;13,8;6,1;28,8;6
Bergen - Florida;SN50540;07.1982;15,1;9,4;27,6;-
Oslo - Blindern;SN18700;07.1982;18,1;7,7;30,1;4
Bergen - Florida;SN50540;08.1982;14,9;7,4;28,3;-
Oslo - Blindern;SN18700;08.1982;16,4;4,8;34,2;10
Bergen - Florida;SN50540;09.1982;11,3;3,8;18,6;-
Oslo - Blindern;SN18700;09.1982;12,1;1,6;21,4;13
Bergen - Florida;SN50540;10.1982;10,3;2,1;18,8;-
Oslo - Blindern;SN18700;10.1982;6,2;-0,6;12,6;12
Bergen - Florida;SN50540;11.1982;6,2;0,4;14,2;-
Oslo - Blindern;SN18700;11.1982;2,5;-4,2;11,2;15
Bergen - Florida;SN50540;12.1982;3,7;-4;8,8;-
Oslo - Blindern;SN18700;12.1982;-1,8;-13,6;4,8;9
Bergen - Florida;SN50540;01.1983;4,1;-2,1;9,6;29
Oslo - Blindern;SN18700;01.1983;0,7;-10,1;9,4;7
Bergen - Florida;SN50540;02.1983;1,1;-6,5;8,8;8
Oslo - Blindern;SN18700;02.1983;-4;-13,8;3,3;3
Bergen - Florida;SN50540;03.1983;4,1;-3;9;18
Oslo - Blindern;SN18700;03.1983;1,5;-6,2;10,4;7
Bergen - Florida;SN50540;04.1983;6,4;-1,3;15,6;10
Oslo - Blindern;SN18700;04.1983;5,4;-1,3;16,2;10
Bergen - Florida;SN50540;05.1983;10,1;3,2;20,2;19
Oslo - Blindern;SN18700;05.1983;10,5;3;19,4;16
Bergen - Florida;SN50540;06.1983;12,6;6,4;25,4;11
Oslo - Blindern;SN18700;06.1983;14,2;5,5;27,9;7
Bergen - Florida;SN50540;07.1983;14,8;7,2;26,3;14
Oslo - Blindern;SN18700;07.1983;17,9;6,1;29,4;7
Bergen - Florida;SN50540;08.1983;13,6;7,5;26,6;17
Oslo - Blindern;SN18700;08.1983;16,7;7,2;27,5;4
Bergen - Florida;SN50540;09.1983;11,7;2,8;24;20
Oslo - Blindern;SN18700;09.1983;11,6;-0,4;21,8;16
Bergen - Florida;SN50540;10.1983;8,3;1,2;14,5;29
Oslo - Blindern;SN18700;10.1983;7,2;-3,4;18,1;12
Bergen - Florida;SN50540;11.1983;5;-3,8;11,4;21
Oslo - Blindern;SN18700;11.1983;1,3;-9,8;14,4;5
Bergen - Florida;SN50540;12.1983;3,5;-5,1;9,7;21
Oslo - Blindern;SN18700;12.1983;-1;-12;6,1;9
Bergen - Florida;SN50540;01.1984;0,1;-11,6;9,3;16
Oslo - Blindern;SN18700;01.1984;-4,8;-18,2;6,8;13
Bergen - Florida;SN50540;02.1984;1,9;-5,4;7,8;11
Oslo - Blindern;SN18700;02.1984;-2,7;-10,5;5,6;5
Bergen - Florida;SN50540;03.1984;2,2;-4,6;9;6
Oslo - Blindern;SN18700;03.1984;-1,2;-10,6;9,1;5
Bergen - Florida;SN50540;04.1984;6,5;-0,5;16,8;14
Oslo - Blindern;SN18700;04.1984;5,8;-2,6;21,8;7
Bergen - Florida;SN50540;05.1984;11,7;1,2;24,4;11
Oslo - Blindern;SN18700;05.1984;12,4;1,4;24,8;9
Bergen - Florida;SN50540;06.1984;13,8;5,5;27,9;11
Oslo - Blindern;SN18700;06.1984;14,5;5,9;25,2;15
Bergen - Florida;SN50540;07.1984;14;6,9;26;10
Oslo - Blindern;SN18700;07.1984;16,1;7,3;25,3;9
Bergen - Florida;SN50540;08.1984;14,5;8,1;23,7;9
Oslo - Blindern;SN18700;08.1984;16,2;7,4;25,7;11
