verdi,tidsforskyvning,referansetid
10.4,PT18H,2024-01-01T00:00:00.000Z
6.3,PT6H,2024-01-01T00:00:00.000Z
3.1,PT18H,2024-01-02T00:00:00.000Z
6.4,PT6H,2024-01-02T00:00:00.000Z
1.2,PT18H,2024-01-03T00:00:00.000Z
2.1,PT6H,2024-01-03T00:00:00.000Z
0.4,PT18H,2024-01-04T00:00:00.000Z
0.9,PT6H,2024-01-04T00:00:00.000Z
0.0,PT18H,2024-01-05T00:00:00.000Z
0.0,PT6H,2024-01-05T00:00:00.000Z
0.0,PT18H,2024-01-06T00:00:00.000Z
0.0,PT6H,2024-01-06T00:00:00.000Z
0.0,PT18H,2024-01-07T00:00:00.000Z
0.0,PT6H,2024-01-07T00:00:00.000Z
0.0,PT18H,2024-01-08T00:00:00.000Z
0.0,PT6H,2024-01-08T00:00:00.000Z
0.0,PT18H,2024-01-09T00:00:00.000Z
0.0,PT6H,2024-01-09T00:00:00.000Z
0.0,PT18H,2024-01-10T00:00:00.000Z
0.0,PT6H,2024-01-10T00:00:00.000Z
0.0,PT18H,2024-01-11T00:00:00.000Z
0.0,PT6H,2024-01-11T00:00:00.000Z
0.0,PT18H,2024-01-12T00:00:00.000Z
0.0,PT6H,2024-01-12T00:00:00.000Z
0.1,PT18H,2024-01-13T00:00:00.000Z
0.0,PT6H,2024-01-13T00:00:00.000Z
2.5,PT18H,2024-01-14T00:00:00.000Z
0.1,PT6H,2024-01-14T00:00:00.000Z
3.9,PT18H,2024-01-15T00:00:00.000Z
6.4,PT6H,2024-01-15T00:00:00.000Z
0.5,PT18H,2024-01-16T00:00:00.000Z
0.0,PT6H,2024-01-16T00:00:00.000Z
14.1,PT18H,2024-01-17T00:00:00.000Z
4.1,PT6H,2024-01-17T00:00:00.000Z
0.1,PT18H,2024-01-18T00:00:00.000Z
10.5,PT6H,2024-01-18T00:00:00.000Z
0.0,PT18H,2024-01-19T00:00:00.000Z
0.1,PT6H,2024-01-19T00:00:00.000Z
0.4,PT18H,2024-01-20T00:00:00.000Z
0.0,PT6H,2024-01-20T00:00:00.000Z
4.4,PT18H,2024-01-21T00:00:00.000Z
1.1,PT6H,2024-01-21T00:00:00.000Z
7.8,PT18H,2024-01-22T00:00:00.000Z
11.4,PT6H,2024-01-22T00:00:00.000Z
0.0,PT18H,2024-01-23T00:00:00.000Z
0.1,PT6H,2024-01-23T00:00:00.000Z
9.1,PT18H,2024-01-24T00:00:00.000Z
9.1,PT6H,2024-01-24T00:00:00.000Z
0.0,PT18H,2024-01-25T00:00:00.000Z
0.0,PT6H,2024-01-25T00:00:00.000Z
12.5,PT18H,2024-01-26T00:00:00.000Z
0.1,PT6H,2024-01-26T00:00:00.000Z
0.0,PT18H,2024-01-27T00:00:00.000Z
