,verdi,tidsforskyvning,referansetid
0,-4.9,PT0H,2024-01-01T00:00:00.000Z
1,-3.8,PT6H,2024-01-01T00:00:00.000Z
2,-7.4,PT0H,2024-01-02T00:00:00.000Z
3,-5.3,PT6H,2024-01-02T00:00:00.000Z
4,-8.5,PT0H,2024-01-03T00:00:00.000Z
5,-8.1,PT6H,2024-01-03T00:00:00.000Z
6,-10.4,PT0H,2024-01-04T00:00:00.000Z
7,-8.7,PT6H,2024-01-04T00:00:00.000Z
8,-16.7,PT0H,2024-01-05T00:00:00.000Z
9,-12.0,PT6H,2024-01-05T00:00:00.000Z
10,-18.8,PT0H,2024-01-06T00:00:00.000Z
11,-18.9,PT6H,2024-01-06T00:00:00.000Z
12,-16.7,PT0H,2024-01-07T00:00:00.000Z
13,-17.5,PT6H,2024-01-07T00:00:00.000Z
14,-14.9,PT0H,2024-01-08T00:00:00.000Z
15,-17.0,PT6H,2024-01-08T00:00:00.000Z
16,-9.1,PT0H,2024-01-09T00:00:00.000Z
17,-13.3,PT6H,2024-01-09T00:00:00.000Z
18,-6.2,PT0H,2024-01-10T00:00:00.000Z
19,-7.6,PT6H,2024-01-10T00:00:00.000Z
20,1.5,PT0H,2024-01-11T00:00:00.000Z
21,-3.9,PT6H,2024-01-11T00:00:00.000Z
22,-4.3,PT0H,2024-01-12T00:00:00.000Z
23,-0.1,PT6H,2024-01-12T00:00:00.000Z
24,-4.1,PT0H,2024-01-13T00:00:00.000Z
25,-4.2,PT6H,2024-01-13T00:00:00.000Z
26,-2.4,PT0H,2024-01-14T00:00:00.000Z
27,-3.8,PT6H,2024-01-14T00:00:00.000Z
28,-9.4,PT0H,2024-01-15T00:00:00.000Z
29,-3.3,PT6H,2024-01-15T00:00:00.000Z
30,-12.3,PT0H,2024-01-16T00:00:00.000Z
31,-12.3,PT6H,2024-01-16T00:00:00.000Z
32,-6.8,PT0H,2024-01-17T00:00:00.000Z
33,-9.4,PT6H,2024-01-17T00:00:00.000Z
34,-10.2,PT0H,2024-01-18T00:00:00.000Z
35,-7.7,PT6H,2024-01-18T00:00:00.000Z
36,-11.8,PT0H,2024-01-19T00:00:00.000Z
37,-11.0,PT6H,2024-01-19T00:00:00.000Z
38,-11.9,PT0H,2024-01-20T00:00:00.000Z
39,-12.1,PT6H,2024-01-20T00:00:00.000Z
40,-2.7,PT0H,2024-01-21T00:00:00.000Z
41,-10.2,PT6H,2024-01-21T00:00:00.000Z
42,4.5,PT0H,2024-01-22T00:00:00.000Z
43,0.5,PT6H,2024-01-22T00:00:00.000Z
44,4.4,PT0H,2024-01-23T00:00:00.000Z
45,4.9,PT6H,2024-01-23T00:00:00.000Z
46,1.2,PT0H,2024-01-24T00:00:00.000Z
47,3.5,PT6H,2024-01-24T00:00:00.000Z
48,-0.6,PT0H,2024-01-25T00:00:00.000Z
49,0.6,PT6H,2024-01-25T00:00:00.000Z
50,-0.2,PT0H,2024-01-26T00:00:00.000Z
51,-0.9,PT6H,2024-01-26T00:00:00.000Z
52,-0.9,PT0H,2024-01-27T00:00:00.000Z
53,-0.7,PT6H,2024-01-27T00:00:00.000Z
54,2.8,PT0H,2024-01-28T00:00:00.000Z
55,0.6,PT6H,2024-01-28T00:00:00.000Z
56,2.9,PT0H,2024-01-29T00:00:00.000Z
57,3.3,PT6H,2024-01-29T00:00:00.000Z
58,0.0,PT0H,2024-01-30T00:00:00.000Z
59,1.8,PT6H,2024-01-30T00:00:00.000Z
60,-0.7,PT0H,2024-01-31T00:00:00.000Z
61,-0.7,PT6H,2024-01-31T00:00:00.000Z
62,1.5,PT0H,2024-02-01T00:00:00.000Z
63,0.5,PT6H,2024-02-01T00:00:00.000Z
64,0.6,PT0H,2024-02-02T00:00:00.000Z
65,0.2,PT6H,2024-02-02T00:00:00.000Z
66,5.5,PT0H,2024-02-03T00:00:00.000Z
67,4.0,PT6H,2024-02-03T00:00:00.000Z
68,0.8,PT0H,2024-02-04T00:00:00.000Z
69,3.2,PT6H,2024-02-04T00:00:00.000Z
70,-2.1,PT0H,2024-02-05T00:00:00.000Z
71,0.4,PT6H,2024-02-05T00:00:00.000Z
72,-7.3,PT0H,2024-02-06T00:00:00.000Z
73,-4.3,PT6H,2024-02-06T00:00:00.000Z
74,-7.5,PT0H,2024-02-07T00:00:00.000Z
75,-6.7,PT6H,2024-02-07T00:00:00.000Z
76,-10.8,PT0H,2024-02-08T00:00:00.000Z
77,-8.6,PT6H,2024-02-08T00:00:00.000Z
78,-10.0,PT0H,2024-02-09T00:00:00.000Z
79,-11.5,PT6H,2024-02-09T00:00:00.000Z
80,-8.0,PT0H,2024-02-10T00:00:00.000Z
81,-8.7,PT6H,2024-02-10T00:00:00.000Z
82,-5.1,PT0H,2024-02-11T00:00:00.000Z
83,-7.3,PT6H,2024-02-11T00:00:00.000Z
84,-4.3,PT0H,2024-02-12T00:00:00.000Z
85,-4.9,PT6H,2024-02-12T00:00:00.000Z
86,-3.5,PT0H,2024-02-13T00:00:00.000Z
87,-3.8,PT6H,2024-02-13T00:00:00.000Z
88,-1.4,PT0H,2024-02-14T00:00:00.000Z
