,value,timeOffset,referenceTime
0,6.9,PT0H,2024-01-01T00:00:00.000Z
1,6.3,PT0H,2024-01-02T00:00:00.000Z
2,5.4,PT0H,2024-01-03T00:00:00.000Z
3,4.8,PT0H,2024-01-04T00:00:00.000Z
4,1.9,PT0H,2024-01-05T00:00:00.000Z
5,1.1,PT0H,2024-01-06T00:00:00.000Z
6,1.2,PT0H,2024-01-07T00:00:00.000Z
7,0.9,PT0H,2024-01-08T00:00:00.000Z
8,0.6,PT0H,2024-01-09T00:00:00.000Z
9,0.8,PT0H,2024-01-10T00:00:00.000Z
10,2.2,PT0H,2024-01-11T00:00:00.000Z
11,1.1,PT0H,2024-01-12T00:00:00.000Z
12,0.9,PT0H,2024-01-13T00:00:00.000Z
13,2.6,PT0H,2024-01-14T00:00:00.000Z
14,2.0,PT0H,2024-01-15T00:00:00.000Z
15,1.8,PT0H,2024-01-16T00:00:00.000Z
16,5.5,PT0H,2024-01-17T00:00:00.000Z
17,1.3,PT0H,2024-01-18T00:00:00.000Z
18,1.5,PT0H,2024-01-19T00:00:00.000Z
19,1.4,PT0H,2024-01-20T00:00:00.000Z
20,2.3,PT0H,2024-01-21T00:00:00.000Z
21,6.0,PT0H,2024-01-22T00:00:00.000Z
22,3.0,PT0H,2024-01-23T00:00:00.000Z
23,1.7,PT0H,2024-01-24T00:00:00.000Z
24,1.4,PT0H,2024-01-25T00:00:00.000Z
25,1.6,PT0H,2024-01-26T00:00:00.000Z
26,1.3,PT0H,2024-01-27T00:00:00.000Z
27,4.0,PT0H,2024-01-28T00:00:00.000Z
28,2.2,PT0H,2024-01-29T00:00:00.000Z
29,0.9,PT0H,2024-01-30T00:00:00.000Z
30,2.8,PT0H,2024-01-31T00:00:00.000Z
31,3.0,PT0H,2024-02-01T00:00:00.000Z
32,1.3,PT0H,2024-02-02T00:00:00.000Z
33,4.7,PT0H,2024-02-03T00:00:00.000Z
34,1.9,PT0H,2024-02-04T00:00:00.000Z
35,2.0,PT0H,2024-02-05T00:00:00.000Z
36,3.4,PT0H,2024-02-06T00:00:00.000Z
37,2.0,PT0H,2024-02-07T00:00:00.000Z
38,2.2,PT0H,2024-02-08T00:00:00.000Z
39,3.5,PT0H,2024-02-09T00:00:00.000Z
40,5.8,PT0H,2024-02-10T00:00:00.000Z
41,4.8,PT0H,2024-02-11T00:00:00.000Z
42,5.1,PT0H,2024-02-12T00:00:00.000Z
43,2.4,PT0H,2024-02-13T00:00:00.000Z
44,1.3,PT0H,2024-02-14T00:00:00.000Z
45,2.5,PT0H,2024-02-15T00:00:00.000Z
46,1.4,PT0H,2024-02-16T00:00:00.000Z
47,1.7,PT0H,2024-02-17T00:00:00.000Z
48,2.8,PT0H,2024-02-18T00:00:00.000Z
49,1.5,PT0H,2024-02-19T00:00:00.000Z
50,1.2,PT0H,2024-02-20T00:00:00.000Z
51,1.3,PT0H,2024-02-21T00:00:00.000Z
52,1.6,PT0H,2024-02-22T00:00:00.000Z
53,5.0,PT0H,2024-02-23T00:00:00.000Z
54,2.2,PT0H,2024-02-24T00:00:00.000Z
55,1.9,PT0H,2024-02-25T00:00:00.000Z
56,1.8,PT0H,2024-02-26T00:00:00.000Z
57,3.0,PT0H,2024-02-27T00:00:00.000Z
58,3.5,PT0H,2024-02-28T00:00:00.000Z
59,4.1,PT0H,2024-02-29T00:00:00.000Z
60,2.5,PT0H,2024-03-01T00:00:00.000Z
61,4.1,PT0H,2024-03-02T00:00:00.000Z
62,4.3,PT0H,2024-03-03T00:00:00.000Z
63,4.0,PT0H,2024-03-04T00:00:00.000Z
64,3.7,PT0H,2024-03-05T00:00:00.000Z
65,2.6,PT0H,2024-03-06T00:00:00.000Z
66,1.1,PT0H,2024-03-07T00:00:00.000Z
67,2.0,PT0H,2024-03-08T00:00:00.000Z
68,3.4,PT0H,2024-03-09T00:00:00.000Z
69,3.8,PT0H,2024-03-10T00:00:00.000Z
70,4.4,PT0H,2024-03-11T00:00:00.000Z
71,1.6,PT0H,2024-03-12T00:00:00.000Z
72,2.0,PT0H,2024-03-13T00:00:00.000Z
73,2.9,PT0H,2024-03-14T00:00:00.000Z
74,1.5,PT0H,2024-03-15T00:00:00.000Z
75,6.5,PT0H,2024-03-16T00:00:00.000Z
76,2.6,PT0H,2024-03-17T00:00:00.000Z
77,1.6,PT0H,2024-03-18T00:00:00.000Z
78,1.7,PT0H,2024-03-19T00:00:00.000Z
79,1.1,PT0H,2024-03-20T00:00:00.000Z
80,2.5,PT0H,2024-03-21T00:00:00.000Z
81,3.0,PT0H,2024-03-22T00:00:00.000Z
82,3.0,PT0H,2024-03-23T00:00:00.000Z
83,2.5,PT0H,2024-03-24T00:00:00.000Z
84,3.5,PT0H,2024-03-25T00:00:00.000Z
85,2.1,PT0H,2024-03-26T00:00:00.000Z
86,3.8,PT0H,2024-03-27T00:00:00.000Z
87,6.1,PT0H,2024-03-28T00:00:00.000Z
88,3.0,PT0H,2024-03-29T00:00:00.000Z
89,1.8,PT0H,2024-03-30T00:00:00.000Z
90,2.4,PT0H,2024-03-31T00:00:00.000Z
91,3.5,PT0H,2024-04-01T00:00:00.000Z
92,5.1,PT0H,2024-04-02T00:00:00.000Z
93,4.8,PT0H,2024-04-03T00:00:00.000Z
94,4.6,PT0H,2024-04-04T00:00:00.000Z
95,3.8,PT0H,2024-04-05T00:00:00.000Z
96,1.7,PT0H,2024-04-06T00:00:00.000Z
97,3.5,PT0H,2024-04-07T00:00:00.000Z
98,3.2,PT0H,2024-04-08T00:00:00.000Z
99,2.6,PT0H,2024-04-09T00:00:00.000Z
100,4.8,PT0H,2024-04-10T00:00:00.000Z
101,3.5,PT0H,2024-04-11T00:00:00.000Z
102,1.9,PT0H,2024-04-12T00:00:00.000Z
103,3.1,PT0H,2024-04-13T00:00:00.000Z
104,4.3,PT0H,2024-04-14T00:00:00.000Z
105,2.2,PT0H,2024-04-15T00:00:00.000Z
106,3.3,PT0H,2024-04-16T00:00:00.000Z
107,3.4,PT0H,2024-04-17T00:00:00.000Z
108,2.8,PT0H,2024-04-18T00:00:00.000Z
109,2.3,PT0H,2024-04-19T00:00:00.000Z
110,3.5,PT0H,2024-04-20T00:00:00.000Z
111,4.1,PT0H,2024-04-21T00:00:00.000Z
112,1.9,PT0H,2024-04-22T00:00:00.000Z
113,2.8,PT0H,2024-04-23T00:00:00.000Z
114,2.9,PT0H,2024-04-24T00:00:00.000Z
115,2.2,PT0H,2024-04-25T00:00:00.000Z
116,2.6,PT0H,2024-04-26T00:00:00.000Z
117,1.8,PT0H,2024-04-27T00:00:00.000Z
118,4.6,PT0H,2024-04-28T00:00:00.000Z
119,4.1,PT0H,2024-04-29T00:00:00.000Z
120,2.0,PT0H,2024-04-30T00:00:00.000Z
121,3.6,PT0H,2024-05-01T00:00:00.000Z
122,3.6,PT0H,2024-05-02T00:00:00.000Z
123,2.5,PT0H,2024-05-03T00:00:00.000Z
124,1.9,PT0H,2024-05-04T00:00:00.000Z
125,1.5,PT0H,2024-05-05T00:00:00.000Z
126,4.0,PT0H,2024-05-06T00:00:00.000Z
127,2.2,PT0H,2024-05-07T00:00:00.000Z
128,1.9,PT0H,2024-05-08T00:00:00.000Z
129,3.0,PT0H,2024-05-09T00:00:00.000Z
130,2.9,PT0H,2024-05-10T00:00:00.000Z
131,2.0,PT0H,2024-05-11T00:00:00.000Z
132,2.0,PT0H,2024-05-12T00:00:00.000Z
133,1.9,PT0H,2024-05-13T00:00:00.000Z
134,2.2,PT0H,2024-05-14T00:00:00.000Z
135,2.3,PT0H,2024-05-15T00:00:00.000Z
136,2.5,PT0H,2024-05-16T00:00:00.000Z
137,2.3,PT0H,2024-05-17T00:00:00.000Z
138,2.1,PT0H,2024-05-18T00:00:00.000Z
139,3.0,PT0H,2024-05-19T00:00:00.000Z
140,3.5,PT0H,2024-05-20T00:00:00.000Z
141,2.5,PT0H,2024-05-21T00:00:00.000Z
142,3.4,PT0H,2024-05-22T00:00:00.000Z
143,3.8,PT0H,2024-05-23T00:00:00.000Z
144,2.5,PT0H,2024-05-24T00:00:00.000Z
145,1.6,PT0H,2024-05-25T00:00:00.000Z
146,3.4,PT0H,2024-05-26T00:00:00.000Z
147,2.4,PT0H,2024-05-27T00:00:00.000Z
148,2.2,PT0H,2024-05-28T00:00:00.000Z
149,3.1,PT0H,2024-05-29T00:00:00.000Z
150,2.7,PT0H,2024-05-30T00:00:00.000Z
151,1.9,PT0H,2024-05-31T00:00:00.000Z
152,2.0,PT0H,2024-06-01T00:00:00.000Z
153,2.7,PT0H,2024-06-02T00:00:00.000Z
154,3.3,PT0H,2024-06-03T00:00:00.000Z
155,4.4,PT0H,2024-06-04T00:00:00.000Z
156,4.1,PT0H,2024-06-05T00:00:00.000Z
157,3.3,PT0H,2024-06-06T00:00:00.000Z
158,2.9,PT0H,2024-06-07T00:00:00.000Z
159,2.4,PT0H,2024-06-08T00:00:00.000Z
160,2.7,PT0H,2024-06-09T00:00:00.000Z
161,3.0,PT0H,2024-06-10T00:00:00.000Z
162,2.0,PT0H,2024-06-11T00:00:00.000Z
163,3.0,PT0H,2024-06-12T00:00:00.000Z
164,1.9,PT0H,2024-06-13T00:00:00.000Z
165,2.6,PT0H,2024-06-14T00:00:00.000Z
166,3.5,PT0H,2024-06-15T00:00:00.000Z
167,3.7,PT0H,2024-06-16T00:00:00.000Z
168,3.1,PT0H,2024-06-17T00:00:00.000Z
169,2.3,PT0H,2024-06-18T00:00:00.000Z
170,1.7,PT0H,2024-06-19T00:00:00.000Z
171,3.7,PT0H,2024-06-20T00:00:00.000Z
172,2.4,PT0H,2024-06-21T00:00:00.000Z
173,2.3,PT0H,2024-06-22T00:00:00.000Z
174,2.1,PT0H,2024-06-23T00:00:00.000Z
175,2.3,PT0H,2024-06-24T00:00:00.000Z
176,3.0,PT0H,2024-06-25T00:00:00.000Z
177,2.1,PT0H,2024-06-26T00:00:00.000Z
178,2.3,PT0H,2024-06-27T00:00:00.000Z
179,4.5,PT0H,2024-06-28T00:00:00.000Z
180,4.9,PT0H,2024-06-29T00:00:00.000Z
181,2.1,PT0H,2024-06-30T00:00:00.000Z
182,2.5,PT0H,2024-07-01T00:00:00.000Z
183,1.6,PT0H,2024-07-02T00:00:00.000Z
184,2.7,PT0H,2024-07-03T00:00:00.000Z
185,2.7,PT0H,2024-07-04T00:00:00.000Z
186,3.2,PT0H,2024-07-05T00:00:00.000Z
187,2.8,PT0H,2024-07-06T00:00:00.000Z
188,3.8,PT0H,2024-07-07T00:00:00.000Z
189,2.8,PT0H,2024-07-08T00:00:00.000Z
190,2.6,PT0H,2024-07-09T00:00:00.000Z
191,3.5,PT0H,2024-07-10T00:00:00.000Z
192,2.6,PT0H,2024-07-11T00:00:00.000Z
193,2.3,PT0H,2024-07-12T00:00:00.000Z
194,2.9,PT0H,2024-07-13T00:00:00.000Z
195,3.1,PT0H,2024-07-14T00:00:00.000Z
196,2.0,PT0H,2024-07-15T00:00:00.000Z
197,1.5,PT0H,2024-07-16T00:00:00.000Z
198,1.6,PT0H,2024-07-17T00:00:00.000Z
199,2.3,PT0H,2024-07-18T00:00:00.000Z
200,2.0,PT0H,2024-07-19T00:00:00.000Z
201,1.7,PT0H,2024-07-20T00:00:00.000Z
202,2.0,PT0H,2024-07-21T00:00:00.000Z
203,1.5,PT0H,2024-07-22T00:00:00.000Z
204,2.1,PT0H,2024-07-23T00:00:00.000Z
205,3.1,PT0H,2024-07-24T00:00:00.000Z
206,2.8,PT0H,2024-07-25T00:00:00.000Z
207,2.5,PT0H,2024-07-26T00:00:00.000Z
208,2.1,PT0H,2024-07-27T00:00:00.000Z
209,2.3,PT0H,2024-07-28T00:00:00.000Z
210,2.1,PT0H,2024-07-29T00:00:00.000Z
211,2.1,PT0H,2024-07-30T00:00:00.000Z
212,2.9,PT0H,2024-07-31T00:00:00.000Z
213,2.4,PT0H,2024-08-01T00:00:00.000Z
214,2.7,PT0H,2024-08-02T00:00:00.000Z
215,2.3,PT0H,2024-08-03T00:00:00.000Z
216,1.5,PT0H,2024-08-04T00:00:00.000Z
217,2.1,PT0H,2024-08-05T00:00:00.000Z
218,2.6,PT0H,2024-08-06T00:00:00.000Z
219,2.4,PT0H,2024-08-07T00:00:00.000Z
220,3.0,PT0H,2024-08-08T00:00:00.000Z
221,2.7,PT0H,2024-08-09T00:00:00.000Z
222,3.9,PT0H,2024-08-10T00:00:00.000Z
223,3.6,PT0H,2024-08-11T00:00:00.000Z
224,1.7,PT0H,2024-08-12T00:00:00.000Z
225,1.7,PT0H,2024-08-13T00:00:00.000Z
226,1.5,PT0H,2024-08-14T00:00:00.000Z
227,4.0,PT0H,2024-08-15T00:00:00.000Z
228,3.0,PT0H,2024-08-16T00:00:00.000Z
229,2.7,PT0H,2024-08-17T00:00:00.000Z
230,3.0,PT0H,2024-08-18T00:00:00.000Z
231,2.8,PT0H,2024-08-19T00:00:00.000Z
232,3.6,PT0H,2024-08-20T00:00:00.000Z
233,2.4,PT0H,2024-08-21T00:00:00.000Z
234,3.0,PT0H,2024-08-22T00:00:00.000Z
235,3.4,PT0H,2024-08-23T00:00:00.000Z
236,2.5,PT0H,2024-08-24T00:00:00.000Z
237,3.6,PT0H,2024-08-25T00:00:00.000Z
238,4.6,PT0H,2024-08-26T00:00:00.000Z
239,2.9,PT0H,2024-08-27T00:00:00.000Z
240,2.7,PT0H,2024-08-28T00:00:00.000Z
241,2.4,PT0H,2024-08-29T00:00:00.000Z
242,2.3,PT0H,2024-08-30T00:00:00.000Z
243,2.4,PT0H,2024-08-31T00:00:00.000Z
244,1.7,PT0H,2024-09-01T00:00:00.000Z
245,1.7,PT0H,2024-09-02T00:00:00.000Z
246,2.0,PT0H,2024-09-03T00:00:00.000Z
247,2.8,PT0H,2024-09-04T00:00:00.000Z
248,2.9,PT0H,2024-09-05T00:00:00.000Z
249,1.5,PT0H,2024-09-06T00:00:00.000Z
250,2.2,PT0H,2024-09-07T00:00:00.000Z
251,2.8,PT0H,2024-09-08T00:00:00.000Z
252,2.1,PT0H,2024-09-09T00:00:00.000Z
253,3.9,PT0H,2024-09-10T00:00:00.000Z
254,4.3,PT0H,2024-09-11T00:00:00.000Z
255,2.8,PT0H,2024-09-12T00:00:00.000Z
256,2.0,PT0H,2024-09-13T00:00:00.000Z
257,1.6,PT0H,2024-09-14T00:00:00.000Z
258,2.6,PT0H,2024-09-15T00:00:00.000Z
259,1.3,PT0H,2024-09-16T00:00:00.000Z
260,1.4,PT0H,2024-09-17T00:00:00.000Z
261,1.4,PT0H,2024-09-18T00:00:00.000Z
262,1.3,PT0H,2024-09-19T00:00:00.000Z
263,1.1,PT0H,2024-09-20T00:00:00.000Z
264,1.7,PT0H,2024-09-21T00:00:00.000Z
265,1.2,PT0H,2024-09-22T00:00:00.000Z
266,1.7,PT0H,2024-09-23T00:00:00.000Z
267,1.5,PT0H,2024-09-24T00:00:00.000Z
268,2.8,PT0H,2024-09-25T00:00:00.000Z
269,3.2,PT0H,2024-09-26T00:00:00.000Z
270,4.1,PT0H,2024-09-27T00:00:00.000Z
271,2.1,PT0H,2024-09-28T00:00:00.000Z
